Category,PalID,Link,SourceID,BranchID,DateObserved,CurrentStatus,CurrentPrice,PreviousStatus,PreviousPrice,PreviousDate,UDPRN,UMRRN,UPRN,Abode,HouseName,HouseNum,Street1,Street2,Sublocality,Locality,Town,Postcode,DeliveryPointSuffix
Withdrawn,592381,https://www.rightmove.co.uk/property-for-sale/property-111666542.html,R111666542,R78413,03/11/2021 00:00:00,,,,350000,26/10/2021 00:00:00,23818698,23818699,,FLAT D,,47,JEFFREYS ROAD,,,,LONDON,SW4 6QD,1X
Withdrawn,592392,https://www.rightmove.co.uk/property-for-sale/property-111707819.html,R111707819,R1891,03/11/2021 00:00:00,,,,265000,20/10/2021 00:00:00,23818704,51866382,100021854726,FLAT 8,,45,JEFFREYS ROAD,,,,LONDON,SW4 6QD,1A
Withdrawn,622342,https://www.rightmove.co.uk/property-for-sale/property-114442172.html,R114442172,R108515,03/11/2021 00:00:00,,,,875000,20/10/2021 00:00:00,23909520,53021605,217092227,GROUND FLOOR FLAT,,4,WESTGATE TERRACE,,,,LONDON,SW10 9BJ,1N
Withdrawn,634723,https://www.rightmove.co.uk/property-for-sale/property-112743155.html,R112743155,R214331,03/11/2021 00:00:00,,,,349950,26/10/2021 00:00:00,23969990,23969991,10070723859,,,32B,SHEEN LANE,,,,LONDON,SW14 8LW,1W
Withdrawn,635152,https://www.rightmove.co.uk/property-for-sale/property-113207855.html,R113207855,R49971,03/11/2021 00:00:00,,,,470000,26/10/2021 00:00:00,23975942,50989971,100022625708,FLAT 2,,96,CHELVERTON ROAD,,,,LONDON,SW15 1RL,1Y
Withdrawn,637467,https://www.rightmove.co.uk/property-for-sale/property-114204779.html,R114204779,R15963,03/11/2021 00:00:00,,,,325000,23/10/2021 00:00:00,23994629,50954501,121040225,FLAT 4,,10A,CAMBALT ROAD,,,,LONDON,SW15 6EW,4J
Withdrawn,682324,https://www.rightmove.co.uk/property-for-sale/property-112542395.html,R112542395,R5879,03/11/2021 00:00:00,,,,250000,27/10/2021 00:00:00,25494372,25494431,100022305297,FLAT 8,,113,CHURCH ROAD,,,,RICHMOND,TW10 6LS,4D
Withdrawn,687139,https://www.rightmove.co.uk/property-for-sale/property-109645235.html,R109645235,R6474,03/11/2021 00:00:00,,,,2850000,23/10/2021 00:00:00,51859763,52504472,10033614668,APARTMENT 14,,16,MARSHALL STREET,,,,LONDON,W1F 7BE,1H
Withdrawn,653573,https://www.rightmove.co.uk/property-for-sale/property-110973353.html,R110973353,R53811,03/11/2021 00:00:00,,,,240000,27/10/2021 00:00:00,24067982,52687451,10024085245,FLAT 5,,631,GARRATT LANE,,,,LONDON,SW18 4SX,1W
Withdrawn,689029,https://www.rightmove.co.uk/property-for-sale/property-112771586.html,R112771586,R63077,03/11/2021 00:00:00,,,,1650000,26/10/2021 00:00:00,25743669,25743685,100023460054,FLAT 4,,15,MONTAGU SQUARE,,,,LONDON,W1H 2LD,2Q
Withdrawn,689068,https://www.rightmove.co.uk/property-for-sale/property-114170744.html,R114170744,R81013,03/11/2021 00:00:00,,,,690000,20/10/2021 00:00:00,25743746,50090318,100022781541,FLAT 2,BRYMON COURT,31-32,MONTAGU SQUARE,,,,LONDON,W1H 2LH,1E
Withdrawn,691874,https://www.rightmove.co.uk/property-for-sale/property-90310586.html,R90310586,R49602,03/11/2021 00:00:00,,,,18950000,21/10/2021 00:00:00,25750904,50091904,100022759841,FLAT 3,,18,GROSVENOR SQUARE,,,,LONDON,W1K 6LE,1B
Withdrawn,699121,https://www.rightmove.co.uk/property-for-sale/property-90166948.html,R90166948,R31602,03/11/2021 00:00:00,,,,1275000,20/10/2021 00:00:00,25767384,51079127,100022767264,FLAT 1,,2,HYDE PARK SQUARE,,,,LONDON,W2 2JY,1P
Withdrawn,699222,https://www.rightmove.co.uk/property-for-sale/property-113261276.html,R113261276,R65243,03/11/2021 00:00:00,,,,1950000,21/10/2021 00:00:00,25767842,51368044,100023478591,FLAT 2,,10,STRATHEARN PLACE,,,,LONDON,W2 2NH,1L
Withdrawn,708297,https://www.rightmove.co.uk/property-for-sale/property-111895547.html,R111895547,R22353,03/11/2021 00:00:00,,,,1895000,26/10/2021 00:00:00,25782724,25782731,100023484484,FLAT E,,22,CLEVELAND SQUARE,,,,LONDON,W2 6DG,1H
Withdrawn,726618,https://www.rightmove.co.uk/property-for-sale/property-108046391.html,R108046391,R87922,03/11/2021 00:00:00,,,,1900000,20/10/2021 00:00:00,25881629,50780378,100022796539,,,80F,RANDOLPH AVENUE,,,,LONDON,W9 1BG,1J
Withdrawn,731154,https://www.rightmove.co.uk/property-for-sale/property-99551222.html,R99551222,R220250,03/11/2021 00:00:00,,,,700000,20/10/2021 00:00:00,25890615,51379205,100022728246,,,116C,BRAVINGTON ROAD,,,,LONDON,W9 3AL,1L
Withdrawn,742931,https://www.rightmove.co.uk/property-for-sale/property-106869362.html,R106869362,R32235,03/11/2021 00:00:00,,,,2380000,26/10/2021 00:00:00,25917323,50235237,217038404,FLAT 4,,26,HOLLAND PARK,,,,LONDON,W11 3TD,2J
Withdrawn,745563,https://www.rightmove.co.uk/property-for-sale/property-79999566.html,R79999566,R22275,03/11/2021 00:00:00,,,,850000,20/10/2021 00:00:00,25932055,53765520,34157678,FLAT 1,,103,GOLDHAWK ROAD,,,,LONDON,W12 8EJ,1A
Withdrawn,736359,https://www.rightmove.co.uk/property-for-sale/property-114891203.html,R114891203,R223559,03/11/2021 00:00:00,,,,335000,26/10/2021 00:00:00,25905146,50107987,217049322,FLAT 2,,245,LADBROKE GROVE,,,,LONDON,W10 6HF,1D
Withdrawn,736651,https://www.rightmove.co.uk/property-for-sale/property-109240226.html,R109240226,R49824,03/11/2021 00:00:00,,,,340000,23/10/2021 00:00:00,25905311,51385482,217010255,FLAT 9,,104,CAMBRIDGE GARDENS,,,,LONDON,W10 6HT,1L
Withdrawn,751420,https://www.rightmove.co.uk/property-for-sale/property-112254443.html,R112254443,R84827,03/11/2021 00:00:00,,,,4650000,20/10/2021 00:00:00,52803066,53634713,217123698,FLAT 82,TRINITY HOUSE,377,KENSINGTON HIGH STREET,,,,LONDON,W14 8QA,1L
Withdrawn,3573885,https://www.rightmove.co.uk/property-for-sale/property-114110774.html,R114110774,R145529,03/11/2021 00:00:00,,,,1300000,22/10/2021 00:00:00,7813017,,6011722,,,22,PARFETT STREET,,,,LONDON,E1 1JR,1F
Withdrawn,3575702,https://www.rightmove.co.uk/property-for-sale/property-110216420.html,R110216420,R104911,03/11/2021 00:00:00,,,,440000,26/10/2021 00:00:00,7821287,,6034289,,,15,MASSINGHAM STREET,,,,LONDON,E1 4EP,1E
Withdrawn,3617557,https://www.rightmove.co.uk/property-for-sale/property-109999976.html,R109999976,R66685,03/11/2021 00:00:00,,,,675000,27/10/2021 00:00:00,8083062,,6060633,,,21,UNDINE ROAD,,,,LONDON,E14 9UW,1S
Withdrawn,3659537,https://www.rightmove.co.uk/property-for-sale/property-107197532.html,R107197532,R16050,03/11/2021 00:00:00,,,,500000,22/10/2021 00:00:00,7849485,,6020863,,,48,MANSFORD STREET,,,,LONDON,E2 7AJ,2B
Withdrawn,3660526,https://www.rightmove.co.uk/property-for-sale/property-113636750.html,R113636750,R104911,03/11/2021 00:00:00,,,,325000,27/10/2021 00:00:00,7854348,,100021049749,,,1,HOWS STREET,,,,LONDON,E2 8EE,1A
Withdrawn,3681034,https://www.rightmove.co.uk/property-for-sale/property-114536000.html,R114536000,R24392,03/11/2021 00:00:00,,,Under offer,1450000,27/10/2021 00:00:00,7907793,,100021037608,,,24,DUNLACE ROAD,,,,LONDON,E5 0NE,1L
Withdrawn,3707359,https://www.rightmove.co.uk/property-for-sale/property-81534279.html,R81534279,R113191,03/11/2021 00:00:00,,,,2600000,20/10/2021 00:00:00,7966280,,100021070773,,,73,SANDRINGHAM ROAD,,,,LONDON,E8 2LL,1D
Withdrawn,7360566,https://www.rightmove.co.uk/property-for-sale/property-111321404.html,R111321404,R84800,03/11/2021 00:00:00,,,,1000000,26/10/2021 00:00:00,12075852,,100021756833,,,6,CLEVEDON ROAD,,,,KINGSTON UPON THAMES,KT1 3AD,1Z
Withdrawn,7361887,https://www.rightmove.co.uk/property-for-sale/property-114249887.html,R114249887,R24437,03/11/2021 00:00:00,,,,375000,20/10/2021 00:00:00,12078732,,128010567,,,399,KINGSTON ROAD,,,,KINGSTON UPON THAMES,KT1 3PA,1J
Withdrawn,7413793,https://www.rightmove.co.uk/property-for-sale/property-112909322.html,R112909322,R13985,03/11/2021 00:00:00,,,,679950,26/10/2021 00:00:00,12082872,,100021754418,,,24,BEARFIELD ROAD,,,,KINGSTON UPON THAMES,KT2 5ET,1W
Withdrawn,7417004,https://www.rightmove.co.uk/property-for-sale/property-111316370.html,R111316370,R32244,03/11/2021 00:00:00,,,,875000,20/10/2021 00:00:00,12088531,,100021758739,,,22,EAST ROAD,,,,KINGSTON UPON THAMES,KT2 6EL,1J
Withdrawn,7417079,https://www.rightmove.co.uk/property-for-sale/property-115025744.html,R115025744,R229394,03/11/2021 00:00:00,,,,725000,27/10/2021 00:00:00,12088655,,100021752920,,,129,ACRE ROAD,,,,KINGSTON UPON THAMES,KT2 6EZ,1N
Withdrawn,7417117,https://www.rightmove.co.uk/property-for-sale/property-114142697.html,R114142697,R1541,03/11/2021 00:00:00,,,,650000,27/10/2021 00:00:00,12088727,,100021767237,,,45,SHORTLANDS ROAD,,,,KINGSTON UPON THAMES,KT2 6HD,2X
Withdrawn,7415073,https://www.rightmove.co.uk/property-for-sale/property-75580884.html,R75580884,R57272,03/11/2021 00:00:00,,,,550000,26/10/2021 00:00:00,12085061,,100022287759,,,19,COWPER ROAD,,,,KINGSTON UPON THAMES,KT2 5PQ,1P
Withdrawn,7417878,https://www.rightmove.co.uk/property-for-sale/property-109033412.html,R109033412,R84800,03/11/2021 00:00:00,,,,949950,20/10/2021 00:00:00,12090122,,100021756929,,,80,CLIFTON ROAD,,,,KINGSTON UPON THAMES,KT2 6PN,1W
Withdrawn,8035906,https://www.rightmove.co.uk/property-for-sale/property-109285931.html,R109285931,R99271,03/11/2021 00:00:00,,,,3250000,26/10/2021 00:00:00,21600903,,100020955083,,,42,CROOMS HILL,,,,LONDON,SE10 8HD,1A
Withdrawn,8036243,https://www.rightmove.co.uk/property-for-sale/property-90306898.html,R90306898,R65616,03/11/2021 00:00:00,,,,535000,27/10/2021 00:00:00,21602364,,100020995146,,,14,POINT CLOSE,,,,LONDON,SE10 8QS,1G
Withdrawn,8037930,https://www.rightmove.co.uk/property-for-sale/property-107854715.html,R107854715,R149843,03/11/2021 00:00:00,,,,300000,20/10/2021 00:00:00,21606820,,10010201090,,,6,WOODLAND GROVE,,,,LONDON,SE10 9UL,2Q
Withdrawn,8047697,https://www.rightmove.co.uk/property-for-sale/property-107604095.html,R107604095,R51834,03/11/2021 00:00:00,,,,694950,23/10/2021 00:00:00,21631842,,100021976999,,,181,LEAHURST ROAD,,,,LONDON,SE13 5LW,2J
Withdrawn,8047983,https://www.rightmove.co.uk/property-for-sale/property-111320405.html,R111320405,R470,03/11/2021 00:00:00,,,,260000,24/10/2021 00:00:00,21632290,,100021966229,,,17,HALLEY GARDENS,,,,LONDON,SE13 5PA,1L
Withdrawn,8048019,https://www.rightmove.co.uk/property-for-sale/property-106256006.html,R106256006,R151079,03/11/2021 00:00:00,,,,295000,26/10/2021 00:00:00,21632326,,100021966218,,,6,HALLEY GARDENS,,,,LONDON,SE13 5PA,3F
Withdrawn,8065002,https://www.rightmove.co.uk/property-for-sale/property-110843027.html,R110843027,R63765,03/11/2021 00:00:00,,,,975000,26/10/2021 00:00:00,21696207,,200003414180,,,3,MIDSHIP CLOSE,,,,LONDON,SE16 6BT,1U
Withdrawn,8066555,https://www.rightmove.co.uk/property-for-sale/property-114067991.html,R114067991,R233756,03/11/2021 00:00:00,,,,475000,27/10/2021 00:00:00,21681130,,200003401414,,,12,MILLENDER WALK,,,,LONDON,SE16 2BL,1E
Withdrawn,8067638,https://www.rightmove.co.uk/property-for-sale/property-114355295.html,R114355295,R40512,03/11/2021 00:00:00,,,,475000,27/10/2021 00:00:00,21685440,,200003404951,,,20,CRANSWICK ROAD,,,,LONDON,SE16 3BH,1H
Withdrawn,8068933,https://www.rightmove.co.uk/property-for-sale/property-111666365.html,R111666365,R233879,03/11/2021 00:00:00,,,,250000,26/10/2021 00:00:00,21689775,,200003405864,,,100,CADBURY WAY,,,,LONDON,SE16 3XB,1B
Withdrawn,8069592,https://www.rightmove.co.uk/property-for-sale/property-110004458.html,R110004458,R65243,03/11/2021 00:00:00,,,,1195000,20/10/2021 00:00:00,21702512,,200003418903,,,1,COLWORTH GROVE,,,,LONDON,SE17 1LR,1A
Withdrawn,8071245,https://www.rightmove.co.uk/property-for-sale/property-111768254.html,R111768254,R1913,03/11/2021 00:00:00,,,,675000,27/10/2021 00:00:00,21711473,,200003428417,,,53,CANTERBURY PLACE,,,,LONDON,SE17 3AD,3A
Withdrawn,8073502,https://www.rightmove.co.uk/property-for-sale/property-109857770.html,R109857770,R50064,03/11/2021 00:00:00,,,,575000,26/10/2021 00:00:00,21716082,,200003430710,,,1,LANGDALE CLOSE,,,,LONDON,SE17 3UF,1A
Withdrawn,8169594,https://www.rightmove.co.uk/property-for-sale/property-113627762.html,R113627762,R102821,03/11/2021 00:00:00,,,,735000,24/10/2021 00:00:00,21551447,,100020943837,,,105,BRAMSHOT AVENUE,,,,LONDON,SE7 7HX,1D
Withdrawn,11913434,https://www.rightmove.co.uk/property-for-sale/property-113326472.html,R113326472,R46451,03/11/2021 00:00:00,,,Under offer,2600000,26/10/2021 00:00:00,23776872,,217008766,,,50,CADOGAN LANE,,,,LONDON,SW1X 9DX,1S
Withdrawn,11915192,https://www.rightmove.co.uk/property-for-sale/property-113817977.html,R113817977,R80881,03/11/2021 00:00:00,,,,1000000,21/10/2021 00:00:00,23914899,,100022626308,,,19,CHIVALRY ROAD,,,,LONDON,SW11 1HT,1P
Withdrawn,11917189,https://www.rightmove.co.uk/property-for-sale/property-111213314.html,R111213314,R85460,03/11/2021 00:00:00,,,,1272000,26/10/2021 00:00:00,23921839,,100022651785,,,68,HARBUT ROAD,,,,LONDON,SW11 2RB,2R
Withdrawn,11919339,https://www.rightmove.co.uk/property-for-sale/property-112540238.html,R112540238,R34265,03/11/2021 00:00:00,,,,525000,22/10/2021 00:00:00,23933778,,100022685170,,,118,REFORM STREET,,,,LONDON,SW11 5AH,1N
Withdrawn,11921541,https://www.rightmove.co.uk/property-for-sale/property-109675820.html,R109675820,R105238,03/11/2021 00:00:00,,,,825000,22/10/2021 00:00:00,23939699,,100022664965,,,28,LONGBEACH ROAD,,,,LONDON,SW11 5ST,1P
Withdrawn,11930758,https://www.rightmove.co.uk/property-for-sale/property-109004102.html,R109004102,R123895,03/11/2021 00:00:00,,,,1575000,26/10/2021 00:00:00,23957812,,100022289112,,,68,ARCHWAY STREET,,,,LONDON,SW13 0AR,2R
Withdrawn,11933546,https://www.rightmove.co.uk/property-for-sale/property-73200183.html,R73200183,R49933,03/11/2021 00:00:00,,,,3250000,22/10/2021 00:00:00,23964610,,100022302059,,,7,WESTMORELAND ROAD,,,,LONDON,SW13 9RZ,1E
Withdrawn,11933925,https://www.rightmove.co.uk/property-for-sale/property-114054188.html,R114054188,R137993,03/11/2021 00:00:00,,,,550000,20/10/2021 00:00:00,23965643,,100022291874,,,12,CROMWELL PLACE,,,,LONDON,SW14 7HA,1E
Withdrawn,11933179,https://www.rightmove.co.uk/property-for-sale/property-107581922.html,R107581922,R85682,03/11/2021 00:00:00,,,,650000,20/10/2021 00:00:00,23963897,,100022295423,,,73,LYRIC ROAD,,,,LONDON,SW13 9QA,2X
Withdrawn,11935549,https://www.rightmove.co.uk/property-for-sale/property-113263712.html,R113263712,R85682,03/11/2021 00:00:00,,,,635000,20/10/2021 00:00:00,23970748,,100022289404,,,59,AVONDALE ROAD,,,,LONDON,SW14 8PU,2A
Withdrawn,11961382,https://www.rightmove.co.uk/property-for-sale/property-79651065.html,R79651065,R151079,03/11/2021 00:00:00,,,,700000,20/10/2021 00:00:00,24027829,,100022616360,,,54,BLACKSHAW ROAD,,,,LONDON,SW17 0DE,2F
Withdrawn,11965025,https://www.rightmove.co.uk/property-for-sale/property-106669397.html,R106669397,R55339,03/11/2021 00:00:00,,,,700000,20/10/2021 00:00:00,24037019,,100022674090,,,43,NEVIS ROAD,,,,LONDON,SW17 7QL,1W
Withdrawn,11975989,https://www.rightmove.co.uk/property-for-sale/property-107809013.html,R107809013,R65794,03/11/2021 00:00:00,,,,725000,21/10/2021 00:00:00,24056501,,10008158784,,,1,WINDMILL ROAD,,,,LONDON,SW18 2EU,1A
Withdrawn,11976684,https://www.rightmove.co.uk/property-for-sale/property-111001265.html,R111001265,R36266,03/11/2021 00:00:00,,,,1795000,26/10/2021 00:00:00,24058190,,100022670918,,,35,MELODY ROAD,,,,LONDON,SW18 2QW,1T
Withdrawn,11977543,https://www.rightmove.co.uk/property-for-sale/property-114167246.html,R114167246,R24437,03/11/2021 00:00:00,,,,675000,20/10/2021 00:00:00,24060273,,121010682,,,277,EARLSFIELD ROAD,,,,LONDON,SW18 3DF,1P
Withdrawn,11978113,https://www.rightmove.co.uk/property-for-sale/property-107394296.html,R107394296,R34274,03/11/2021 00:00:00,,,,500000,20/10/2021 00:00:00,24061312,,100022652849,,,26,HEATHFIELD SQUARE,,,,LONDON,SW18 3HZ,1B
Withdrawn,11980098,https://www.rightmove.co.uk/property-for-sale/property-113486042.html,R113486042,R127546,03/11/2021 00:00:00,,,,975000,23/10/2021 00:00:00,24065109,,100022639652,,,13,ESPARTO STREET,,,,LONDON,SW18 4DQ,1D
Withdrawn,11980830,https://www.rightmove.co.uk/property-for-sale/property-113642900.html,R113642900,R65794,03/11/2021 00:00:00,,,,925000,20/10/2021 00:00:00,24067380,,100022697333,,,62,STRATHVILLE ROAD,,,,LONDON,SW18 4RB,1N
Withdrawn,12013170,https://www.rightmove.co.uk/property-for-sale/property-110401040.html,R110401040,R37877,03/11/2021 00:00:00,,,,1395000,27/10/2021 00:00:00,23814419,,100021875686,,,66,NORTH STREET,,,,LONDON,SW4 0HE,1E
Withdrawn,12014163,https://www.rightmove.co.uk/property-for-sale/property-107500208.html,R107500208,R29376,03/11/2021 00:00:00,,,,1325000,25/10/2021 00:00:00,23816967,,100021909152,,,52,VOLTAIRE ROAD,,,,LONDON,SW4 6DP,1A
Withdrawn,12015915,https://www.rightmove.co.uk/property-for-sale/property-111007850.html,R111007850,R78413,03/11/2021 00:00:00,,,,2180000,21/10/2021 00:00:00,23823127,,100021884862,,,33,RODENHURST ROAD,,,,LONDON,SW4 8AE,1R
Withdrawn,12017449,https://www.rightmove.co.uk/property-for-sale/property-110485517.html,R110485517,R78413,03/11/2021 00:00:00,,,,875000,27/10/2021 00:00:00,23827847,,100021814050,,,20,BONNEVILLE GARDENS,,,,LONDON,SW4 9LF,1H
Withdrawn,12017178,https://www.rightmove.co.uk/property-for-sale/property-112844951.html,R112844951,R99865,03/11/2021 00:00:00,,,,3000000,26/10/2021 00:00:00,23827343,,100021865228,,,1,LESSAR AVENUE,,,,LONDON,SW4 9HL,1A
Withdrawn,12018447,https://www.rightmove.co.uk/property-for-sale/property-113675759.html,R113675759,R67880,03/11/2021 00:00:00,,,,750000,20/10/2021 00:00:00,23836844,,34070560,,,102,HALFORD ROAD,,,,LONDON,SW6 1JX,1B
Withdrawn,12019314,https://www.rightmove.co.uk/property-for-sale/property-114802244.html,R114802244,R31572,03/11/2021 00:00:00,,,,2000000,26/10/2021 00:00:00,23839958,,34073295,,,624,KINGS ROAD,,,,LONDON,SW6 2DU,1G
Withdrawn,12019476,https://www.rightmove.co.uk/property-for-sale/property-109106498.html,R109106498,R36263,03/11/2021 00:00:00,,,,1000000,26/10/2021 00:00:00,23840531,,34073445,,,28,HOLMEAD ROAD,,,,LONDON,SW6 2JD,1E
Withdrawn,12020677,https://www.rightmove.co.uk/property-for-sale/property-113974154.html,R113974154,R84794,03/11/2021 00:00:00,,,,1250000,23/10/2021 00:00:00,23844928,,34063962,,,33,BREER STREET,,,,LONDON,SW6 3HE,1S
Withdrawn,12022308,https://www.rightmove.co.uk/property-for-sale/property-108529547.html,R108529547,R67880,03/11/2021 00:00:00,,,,4500000,20/10/2021 00:00:00,23849513,,34068762,,,21,MUSGRAVE CRESCENT,,,,LONDON,SW6 4QE,1A
Withdrawn,12024842,https://www.rightmove.co.uk/property-for-sale/property-102436439.html,R102436439,R66704,03/11/2021 00:00:00,,,,850000,21/10/2021 00:00:00,23856774,,34046422,,,81,WARDO AVENUE,,,,LONDON,SW6 6RB,2F
Withdrawn,12025870,https://www.rightmove.co.uk/property-for-sale/property-80407842.html,R80407842,R36263,03/11/2021 00:00:00,,,,2300000,22/10/2021 00:00:00,23859559,,34047569,,,31,FERNHURST ROAD,,,,LONDON,SW6 7JN,1R
Withdrawn,12027254,https://www.rightmove.co.uk/property-for-sale/property-113466962.html,R113466962,R65827,03/11/2021 00:00:00,,,,3850000,27/10/2021 00:00:00,23864524,,217065228,,,18,PELHAM STREET,,,,LONDON,SW7 2NG,1F
